0,1,2
-0.869,-0.01,-0.206
-0.8630000000000002,-0.006,-0.199
-0.876,-0.04,-0.197
-0.8640000000000002,0.031,-0.184
-0.867,0.067,-0.194
-0.8710000000000001,-0.031,-0.16999999999999998
-0.886,-0.028000000000000004,-0.19
-0.8710000000000001,-0.016,-0.199
-0.8509999999999999,-0.03,-0.2
-0.912,-0.001,-0.192
-0.8630000000000002,0.05500000000000001,-0.176
-0.9,0.025,-0.212
-0.8880000000000001,0.04,-0.235
-0.898,-0.021,-0.229
-0.912,0.018,-0.189
-0.8720000000000001,0.0,-0.216
-0.899,0.011,-0.239
-0.876,0.007000000000000001,-0.211
-0.883,0.003,-0.217
-0.911,-0.007000000000000001,-0.183
-0.882,0.047,-0.205
-0.878,-0.0,-0.182
-0.922,-0.013,-0.194
-0.902,0.036,-0.191
-0.865,0.005,-0.196
-0.8489999999999999,-0.018,-0.189
-0.8509999999999999,0.015,-0.141
-0.8939999999999998,0.025,-0.183
-0.899,-0.01,-0.172
-0.87,-0.017,-0.203
-0.875,0.016,-0.214
-0.8489999999999999,0.049,-0.22
-0.8939999999999998,-0.003,-0.199
-0.915,0.003,-0.215
-0.905,0.007000000000000001,-0.196
-0.8939999999999998,0.025,-0.207
-0.877,-0.018,-0.177
-0.881,0.02,-0.16799999999999998
-0.901,0.008999999999999998,-0.198
-0.8630000000000002,0.03,-0.181
-0.832,-0.008,-0.173
-0.86,0.027000000000000003,-0.203
-0.882,0.008,-0.177
-0.8800000000000001,0.026,-0.185
-0.8630000000000002,0.008,-0.161
-0.8880000000000001,-0.002,-0.198
-0.8509999999999999,-0.007000000000000001,-0.186
-0.884,0.017,-0.199
-0.8710000000000001,0.028000000000000004,-0.209
-0.881,-0.043,-0.209
-0.8949999999999998,0.006,-0.16499999999999998
-0.846,0.006,-0.219
-0.8630000000000002,0.004,-0.233
-0.897,-0.003,-0.226
-0.848,-0.033,-0.215
-0.885,-0.047,-0.191
-0.8619999999999999,-0.021,-0.185
-0.899,0.044,-0.219
-0.866,-0.02,-0.183
-0.91,0.023,-0.193
-0.886,0.008,-0.189
-0.882,-0.006,-0.201
-0.925,0.004,-0.178
-0.893,0.025,-0.193
-0.86,0.017,-0.218
-0.918,0.012,-0.193
-0.8720000000000001,0.021,-0.173
-0.912,-0.004,-0.195
-0.912,0.005,-0.181
-0.8619999999999999,0.018,-0.18
-0.891,-0.011,-0.183
-0.877,-0.005,-0.189
-0.8429999999999999,0.017,-0.226
-0.8939999999999998,-0.01,-0.213
-0.891,-0.013,-0.181
-0.927,0.004,-0.136
-0.887,-0.027000000000000003,-0.187
-0.879,0.018,-0.213
-0.922,-0.003,-0.194
-0.882,-0.014000000000000002,-0.179
-0.8939999999999998,0.015,-0.158
-0.877,0.004,-0.203
-0.885,0.025,-0.188
-0.913,-0.017,-0.218
-0.8640000000000002,0.0,-0.217
-0.94,-0.01,-0.183
-0.901,0.007000000000000001,-0.191
-0.876,-0.016,-0.213
-0.886,-0.017,-0.16599999999999998
-0.866,-0.008999999999999998,-0.16699999999999998
-0.8880000000000001,0.001,-0.176
-0.858,-0.021,-0.195
-0.8710000000000001,-0.033,-0.184
-0.8619999999999999,0.033,-0.194
-0.865,-0.019,-0.188
-0.868,-0.004,-0.22
-0.928,-0.025,-0.187
-0.892,0.022,-0.155
-0.891,-0.033,-0.202
-0.857,-0.005,-0.226
-0.8960000000000001,-0.01,-0.175
-0.861,-0.007000000000000001,-0.17099999999999999
-0.878,0.016,-0.182
-0.879,0.018,-0.199
-0.886,0.045,-0.239
-0.866,0.01,-0.22200000000000003
-0.878,0.012,-0.17099999999999999
-0.868,0.031,-0.212
-0.884,0.043,-0.183
-0.8550000000000002,0.022,-0.152
-0.907,0.008999999999999998,-0.191
-0.8560000000000002,-0.002,-0.191
-0.8509999999999999,0.016,-0.201
-0.898,-0.003,-0.16899999999999998
-0.889,0.029,-0.212
-0.8560000000000002,-0.008999999999999998,-0.172
-0.876,-0.041,-0.195
-0.867,-0.001,-0.218
-0.907,-0.012,-0.202
-0.866,0.014000000000000002,-0.213
-0.893,0.014000000000000002,-0.209
-0.867,0.04,-0.234
-0.886,0.016,-0.188
-0.8619999999999999,-0.002,-0.161
-0.922,0.023,-0.193
-0.8640000000000002,0.006,-0.204
-0.868,-0.006,-0.207
-0.859,0.017,-0.194
-0.876,-0.02,-0.184
-0.906,0.039,-0.174
-0.86,0.021,-0.203
-0.874,0.006,-0.177
-0.8449999999999999,0.015,-0.206
-0.866,-0.002,-0.16499999999999998
-0.866,-0.025,-0.209
-0.883,-0.026,-0.202
-0.887,-0.016,-0.177
-0.876,0.001,-0.181
-0.918,-0.016,-0.199
-0.909,-0.033,-0.212
-0.8630000000000002,-0.017,-0.182
-0.875,0.046,-0.205
-0.86,0.017,-0.197
-0.877,0.013,-0.158
-0.878,0.03,-0.158
-0.911,-0.012,-0.202
-0.878,0.006,-0.175
-0.876,0.015,-0.194
-0.869,-0.002,-0.206
-0.84,-0.037,-0.16499999999999998
-0.884,-0.004,-0.154
-0.861,-0.06899999999999999,-0.16899999999999998
-0.8710000000000001,-0.007000000000000001,-0.236
-0.886,-0.032,-0.185
-0.858,-0.023,-0.209
-0.8949999999999998,0.052,-0.182
-0.8539999999999999,0.004,-0.201
-0.887,-0.046,-0.182
-0.861,-0.029,-0.184
-0.886,-0.001,-0.185
-0.8800000000000001,0.03,-0.16799999999999998
-0.883,-0.037,-0.199
-0.8619999999999999,-0.025,-0.198
-0.8939999999999998,0.026,-0.173
-0.8640000000000002,-0.013,-0.172
-0.8800000000000001,-0.023,-0.195
-0.8519999999999999,-0.011,-0.18
-0.8630000000000002,-0.002,-0.223
-0.866,0.017,-0.189
-0.887,-0.02,-0.213
-0.885,-0.0,-0.228
-0.9,-0.001,-0.161
-0.878,0.014000000000000002,-0.16499999999999998
-0.868,0.003,-0.207
-0.879,-0.04,-0.198
-0.865,0.019,-0.198
-0.911,-0.011,-0.184
